member,item
1027,"pork,rolls/buns,softener,hamburger meat,red/blush wine,salt,rolls/buns,whole milk,bottled water"
1028,"specialty chocolate,onions,soda,rolls/buns,rolls/buns,root vegetables,canned beer,butter,baking powder,sugar,onions,flower (seeds),bottled water"
1029,"dessert,ham"
1031,"beverages,other vegetables,ice cream,cream cheese ,other vegetables,pot plants,berries"
1032,"berries,yogurt,ice cream,soda,butter,white bread,whipped/sour cream,other vegetables,root vegetables,whipped/sour cream,white bread,cream cheese ,whole milk,newspapers,pastry,shopping bags"
1033,"tropical fruit,chicken,sausage,frankfurter,fruit/vegetable juice,soda,waffles,snack products,pastry,dessert,rolls/buns,rolls/buns"
1034,"pip fruit,bottled water,tropical fruit,cling film/bags,domestic eggs,newspapers,yogurt,cat food,frozen meals"
1035,"whole milk,whole milk,sausage,yogurt,pip fruit,whole milk,newspapers,yogurt,frozen vegetables,rolls/buns,white wine,frozen vegetables,white bread,salt"
1036,"fruit/vegetable juice,vinegar"
1037,"frankfurter,citrus fruit,tropical fruit,yogurt,shopping bags,white bread,rolls/buns,chewing gum,cake bar,canned beer"
1038,"other vegetables,pip fruit,whole milk,sausage,Instant food products,pork,margarine,whipped/sour cream,specialty chocolate,herbs,pip fruit,butter,butter,whole milk,napkins,cake bar,whipped/sour cream,frozen meals,fruit/vegetable juice"
1039,"salty snack,rolls/buns"
1040,"tropical fruit,chicken,yogurt,whole milk,root vegetables,onions,packaged fruit/vegetables,rolls/buns,pasta,white bread,rolls/buns"
1041,"hamburger meat,chicken,tropical fruit,prosecco,yogurt,frozen vegetables,brown bread,dessert,candy,whole milk"
1042,"beef,citrus fruit,whole milk,dessert,bottled water,other vegetables"
1043,"citrus fruit,tropical fruit,napkins,rolls/buns,sliced cheese,whole milk,whole milk,chocolate marshmallow"
1044,"tropical fruit,root vegetables,other vegetables,curd"
1045,"chicken,fruit/vegetable juice,root vegetables,onions,specialty chocolate,yogurt,butter,yogurt,Instant food products"
1046,"whole milk,pork,pastry,bottled water"
1047,"sweet spreads,curd,pip fruit,butter,soda,soda"
1048,"rolls/buns,rolls/buns,condensed milk,tropical fruit,whole milk,soda"
1049,"butter,frankfurter,white bread,specialty bar,whole milk,herbs,candy,margarine"
1050,"meat,UHT-milk,whipped/sour cream,house keeping products,pasta,waffles,whole milk,other vegetables,hygiene articles,yogurt,yogurt,beverages,dishes,cat food"
1051,"fish,tropical fruit,other vegetables,tropical fruit,other vegetables,pork,hamburger meat,soda,red/blush wine,hamburger meat,rolls/buns,cream cheese ,popcorn,coffee,bottled beer,dishes,shopping bags,frozen vegetables,female sanitary products,shopping bags"
1052,"butter milk,pork,frankfurter,other vegetables,yogurt,butter,bottled water,chicken,soda,soda,beef,root vegetables,yogurt,yogurt,whipped/sour cream,shopping bags,margarine,dog food,chewing gum,beverages,hamburger meat,whole milk,shopping bags,grapes,coffee,soft cheese,detergent"
1053,"hamburger meat,chicken,waffles,soda,whole milk,other vegetables,pastry,frozen vegetables,rolls/buns,soda,sugar,whole milk"
1054,"frankfurter,photo/film,bottled beer,citrus fruit,other vegetables,oil,margarine,soda,fruit/vegetable juice"
1055,"bottled water,yogurt,pork,newspapers,soda,white wine"
1056,"pip fruit,whipped/sour cream,ham,other vegetables,meat spreads,whole milk"
1057,"soda,tropical fruit,domestic eggs,UHT-milk,salty snack,sliced cheese,soda,pickled vegetables"
1058,"root vegetables,sausage,yogurt,chicken,other vegetables,bottled water,root vegetables,other vegetables"
1059,"sausage,salty snack,dessert,cling film/bags,spread cheese"
1061,"whole milk,tropical fruit,soda,whipped/sour cream,beef,beverages,root vegetables,Instant food products,fruit/vegetable juice,hard cheese,chocolate,dessert,bottled beer,margarine"
1062,"other vegetables,tropical fruit,yogurt,ham,whole milk,whole milk,whole milk,other vegetables,butter,whipped/sour cream,sauces,long life bakery product,white bread,ketchup,shopping bags,frozen fruits"
1063,"rolls/buns,whole milk,candy,citrus fruit"
1064,"long life bakery product,root vegetables,cream cheese ,root vegetables,whole milk,rolls/buns,other vegetables"
1065,"frankfurter,beef,red/blush wine,hamburger meat,tropical fruit,tropical fruit,tropical fruit,dessert,frozen fish,soda,rolls/buns,whole milk,long life bakery product,rum"
1066,"root vegetables,whole milk,bottled beer,other vegetables,oil,shopping bags"
1067,"hamburger meat,rolls/buns,whole milk,tropical fruit,pork,coffee,tropical fruit,chocolate"
1068,"pork,soda,spread cheese,yogurt"
1069,"bottled beer,tropical fruit,brown bread,pork,sliced cheese,dishes,fruit/vegetable juice,rolls/buns,salt,domestic eggs"
1070,"citrus fruit,red/blush wine,cream cheese ,newspapers"
1071,"yogurt,roll products ,fruit/vegetable juice"
1072,"frankfurter,ham,canned beer,other vegetables"
1073,"pip fruit,finished products,curd,yogurt,brown bread,pip fruit,brown bread,prosecco,bottled water,salt,dishes,domestic eggs"
1074,"misc. beverages,fruit/vegetable juice,semi-finished bread,instant coffee,flower (seeds),ketchup,oil,detergent,shopping bags,candy"
1075,"frankfurter,pip fruit,frankfurter,citrus fruit,UHT-milk,bottled water,rolls/buns,frozen meals,fruit/vegetable juice,canned fish,dishes"
1076,"ham,frankfurter,sausage,chicken,sausage,whole milk,whole milk,butter,butter,bottled water,brown bread,coffee,bottled water"
1077,"tropical fruit,rolls/buns,canned beer,other vegetables,white bread,pastry,soda,root vegetables,rolls/buns,butter,brown bread,pasta,artif. sweetener,soda"
1078,"frankfurter,curd,chicken,white bread,rolls/buns,soda,coffee"
1079,"rolls/buns,red/blush wine,onions,bottled water,sweet spreads,napkins"
1080,"root vegetables,frozen vegetables,canned beer,pet care,soda"
1081,"coffee,other vegetables,specialty bar,tropical fruit,frankfurter,tropical fruit,butter milk,newspapers,yogurt,whole milk,whole milk,bottled beer,beverages,pastry,baking powder,yogurt"
1082,"beef,bottled water,margarine,hygiene articles,other vegetables"
1083,"pork,hamburger meat,specialty chocolate,sliced cheese,whole milk,soda,bathroom cleaner"
1084,"pip fruit,other vegetables"
1085,"root vegetables,other vegetables,citrus fruit,shopping bags,yogurt,soda,newspapers"
1086,"rolls/buns,other vegetables,beef,canned beer,rolls/buns,ice cream,citrus fruit,soda,curd,herbs,soda,whipped/sour cream,butter,margarine"
1087,"sausage,herbs,sausage,soda,other vegetables,ham,whole milk,coffee,pip fruit,pot plants,beverages,flower (seeds),whole milk,white bread,whole milk,berries,specialty chocolate,chocolate,cake bar,white bread,jam"
1088,"tropical fruit,whole milk,yogurt,meat,other vegetables,hard cheese,berries,domestic eggs,baking powder"
1089,"yogurt,sauces"
1090,"ice cream,sausage,whisky,beef,specialty chocolate,whole milk,dishes,yogurt,yogurt,napkins,detergent,pastry"
1092,"frankfurter,rolls/buns,photo/film,root vegetables,soda,grapes,bottled beer,sausage,yogurt,other vegetables,salty snack,shopping bags,specialty bar,other vegetables,Instant food products,domestic eggs,bottled water,newspapers,frozen vegetables,bottled beer"
1093,"dessert,domestic eggs"
1094,"sausage,sausage,tropical fruit,tropical fruit,pasta,chocolate marshmallow,hamburger meat,whole milk,whole milk,misc. beverages,soda,root vegetables,whole milk,other vegetables,detergent,brown bread,newspapers,waffles,salty snack,flour"
1095,"packaged fruit/vegetables,bottled water,yogurt,pickled vegetables,pork,domestic eggs,shopping bags,flour"
1096,"pip fruit,fruit/vegetable juice"
1097,"tropical fruit,frankfurter,whole milk,whipped/sour cream,shopping bags,sausage,hard cheese,soda,whipped/sour cream,curd,curd,root vegetables,whole milk,whole milk,bottled water,shopping bags,cake bar"
1098,"tropical fruit,canned beer,grapes,root vegetables,rolls/buns,citrus fruit,yogurt,frankfurter,citrus fruit,tropical fruit,frozen vegetables,specialty chocolate,napkins,other vegetables,bottled water,shopping bags,hard cheese,whole milk,canned beer,dessert,candy,cat food,rolls/buns,cat food"
1099,"spread cheese,root vegetables,pip fruit,pork,instant coffee,brown bread"
1100,"soda,hygiene articles,grapes,hamburger meat,whole milk,pudding powder,butter milk,butter,pasta,yogurt"
1101,"rolls/buns,whole milk,brown bread,other vegetables,processed cheese,sparkling wine,whipped/sour cream"
1102,"other vegetables,yogurt,root vegetables,white bread,beverages,frozen vegetables,detergent,candy,brown bread,white wine"
1103,"ice cream,cream,chicken,waffles,herbs,yogurt,pastry,hygiene articles,candles,tea"
1104,"pork,yogurt,domestic eggs,other vegetables,yogurt,whole milk,rolls/buns,yogurt,herbs,root vegetables"
1105,"bottled water,yogurt,tropical fruit,whole milk,other vegetables,white bread"
1107,"citrus fruit,liver loaf,citrus fruit,chicken,beef,shopping bags,onions,misc. beverages,rolls/buns,misc. beverages,spread cheese,specialty fat,rolls/buns,newspapers,whole milk,rolls/buns,shopping bags,newspapers,pastry,semi-finished bread"
1108,"brown bread,pastry,salty snack,frozen potato products,whole milk,canned beer,pastry,specialty cheese,whipped/sour cream,shopping bags,grapes,oil"
1109,"citrus fruit,curd,pip fruit,pip fruit,chocolate,frozen vegetables,sugar,salty snack,margarine,whole milk,margarine,pastry"
1110,"whole milk,pastry,ham,baking powder,bottled water,soda,margarine,soda,butter,yogurt,margarine,chocolate,salty snack,yogurt,pickled vegetables,curd,dishes,liquor"
1111,"beef,bottled water,whole milk,semi-finished bread,flour,frozen vegetables,sugar,other vegetables,soda,UHT-milk,whipped/sour cream"
1112,"dish cleaner,ice cream,jam,newspapers"
1113,"pork,bottled beer,curd,whole milk,pudding powder,specialty bar,canned beer,yogurt,baking powder,domestic eggs,newspapers"
1114,"misc. beverages,dog food,chicken,sausage,chocolate,root vegetables,root vegetables,UHT-milk,dessert,shopping bags,shopping bags,brown bread,shopping bags,citrus fruit,white bread,salty snack"
1115,"other vegetables,other vegetables,whipped/sour cream,turkey,yogurt,butter,yogurt,root vegetables"
1116,"frankfurter,chicken,newspapers,other vegetables,cream cheese ,white bread,other vegetables,brown bread,other vegetables,brown bread,rolls/buns,bottled water,rolls/buns,liquor,root vegetables,beverages,zwieback,butter milk,napkins,soda,canned vegetables,newspapers,hard cheese,soda"
1117,"meat,whole milk,whipped/sour cream"
1118,"whole milk,ham,house keeping products,pip fruit,bottled beer,berries,hair spray,rolls/buns,butter,yogurt,pickled vegetables,processed cheese,frozen vegetables,condensed milk,pastry,curd,canned beer,sliced cheese"
1119,"grapes,whole milk"
1120,"pastry,meat,citrus fruit,soda,other vegetables,condensed milk,UHT-milk,tropical fruit,rice,other vegetables,brown bread,newspapers,specialty bar,tropical fruit,white bread,sugar,chocolate marshmallow"
1121,"coffee,shopping bags"
1122,"bottled water,root vegetables,chicken,citrus fruit,frozen vegetables,dishes"
1123,"pork,frozen vegetables,pip fruit,rolls/buns,soda,rolls/buns,whole milk,oil,yogurt,canned vegetables,cling film/bags"
1124,"yogurt,soda,bottled beer,hygiene articles"
1125,"popcorn,sausage,condensed milk,root vegetables,rolls/buns,citrus fruit,pastry,shopping bags,margarine,margarine,rolls/buns"
1126,"misc. beverages,newspapers,pork,rolls/buns,whole milk,root vegetables,napkins,whipped/sour cream,long life bakery product"
1127,"frankfurter,other vegetables,rolls/buns,citrus fruit,butter,shopping bags,pastry,margarine,soda,UHT-milk,soda,roll products "
1128,"meat,frankfurter,specialty bar,liquor,coffee,white bread,soda,domestic eggs,frozen vegetables,frozen vegetables"
1129,"grapes,whole milk,tea,flower (seeds),frozen meals,baking powder,yogurt,white wine,cream cheese ,shopping bags,flower (seeds),brown bread,specialty chocolate"
1130,"bottled water,tropical fruit,frankfurter,dessert,cream cheese ,root vegetables,cream cheese ,yogurt,margarine,softener,soda"
1132,"other vegetables,soda,semi-finished bread,bottled beer,other vegetables,whole milk,rolls/buns,whole milk,shopping bags,salty snack"
1133,"curd,pork,sausage,yogurt,coffee,domestic eggs,whole milk,rolls/buns,pastry,shopping bags,napkins,rice,shopping bags"
1134,"other vegetables,cream cheese ,pastry,oil,newspapers,brown bread,yogurt"
1135,"hard cheese,whole milk,sausage,shopping bags,butter,other vegetables,soda,butter,dessert,soda"
1136,"herbs,other vegetables,tropical fruit,tropical fruit,tropical fruit,rolls/buns,root vegetables,instant coffee,citrus fruit,citrus fruit,beef,butter milk,whole milk,other vegetables,fruit/vegetable juice,butter milk,shopping bags,flower (seeds),brown bread"
1137,"whole milk,other vegetables,nut snack,other vegetables,sugar,canned beer"
1138,"whole milk,rolls/buns,citrus fruit,root vegetables,butter milk,napkins"
1139,"tropical fruit,rolls/buns,tropical fruit,pork,misc. beverages,brown bread,soft cheese,pickled vegetables,canned beer"
1140,"pip fruit,photo/film,frankfurter,other vegetables,other vegetables,curd,cling film/bags,waffles"
1141,"tropical fruit,cat food,berries,rolls/buns,yogurt,rolls/buns,white bread,whole milk,soda"
1142,"chicken,other vegetables,newspapers,rolls/buns,brown bread,napkins,soups,soda"
1143,"soda,misc. beverages,whole milk,UHT-milk,pork,whole milk,spread cheese,sugar,soda,soda,oil,pickled vegetables"
1144,"hard cheese,meat,canned beer,soda,chicken,pork,root vegetables,root vegetables,whole milk,fish,whipped/sour cream,domestic eggs,domestic eggs,coffee,white bread,white bread"
1145,"tropical fruit,brown bread,root vegetables,other vegetables,bottled beer,soda"
1146,"pork,whole milk,frozen vegetables,other vegetables,yogurt,bottled water,margarine,bottled beer,pip fruit,berries,soda,shopping bags,curd,root vegetables,candy,cereals,sliced cheese,soft cheese,yogurt,waffles"
1147,"frozen meals,soda,specialty chocolate,detergent,whole milk,canned fish"
1148,"soda,pork,yogurt,sausage,pork,root vegetables,soda,whole milk,other vegetables,tropical fruit,shopping bags,white bread,yogurt,soda,other vegetables,dog food,long life bakery product,baking powder,sliced cheese"
1149,"seasonal products,soda,bottled beer,frozen vegetables,chicken,yogurt,yogurt"
1150,"other vegetables,canned beer,pip fruit,long life bakery product,fruit/vegetable juice,sugar,berries,rolls/buns,UHT-milk,bottled water"
1151,"berries,curd,pip fruit,soft cheese,pastry"
1152,"whole milk,pork,soda,curd cheese,rolls/buns,domestic eggs,frozen meals,soda"
1153,"whole milk,butter,frankfurter,chicken,chewing gum,tropical fruit,grapes,ice cream,soft cheese,cake bar,whole milk,rolls/buns,mustard,bottled beer,canned beer,ready soups,dish cleaner"
1154,"root vegetables,citrus fruit,sausage,female sanitary products,other vegetables,whole milk,canned beer,rolls/buns,frozen vegetables"
1155,"whole milk,frankfurter,whole milk,sausage,house keeping products,brandy,pet care,yogurt"
1156,"berries,other vegetables"
1157,"tropical fruit,beef,UHT-milk,curd,napkins,whole milk,frozen meals"
1158,"yogurt,whole milk,rolls/buns,other vegetables,whole milk,citrus fruit,cream cheese ,butter,root vegetables,bottled water,rolls/buns"
1159,"citrus fruit,citrus fruit,frozen vegetables,soda,light bulbs,domestic eggs"
1160,"butter,shopping bags,pip fruit,domestic eggs,whole milk,yogurt,beef,chewing gum,frozen meals,tropical fruit,coffee,root vegetables,whole milk,bottled beer,mustard"
1161,"other vegetables,beef,yogurt,whole milk,newspapers,spread cheese,bottled beer"
1162,"canned beer,misc. beverages,white bread,red/blush wine,canned beer,citrus fruit,coffee,yogurt,salty snack,berries,male cosmetics,fruit/vegetable juice"
1163,"whole milk,beef,sausage,white bread,citrus fruit,newspapers,bottled water,frozen vegetables,bottled water"
1164,"other vegetables,whole milk,sliced cheese,root vegetables,canned vegetables"
1165,"pork,curd,frozen vegetables,beef,packaged fruit/vegetables,spices,whole milk,house keeping products,chocolate"
1166,"bottled water,root vegetables,tropical fruit,brown bread"
1167,"coffee,rolls/buns,domestic eggs,other vegetables"
1168,"bottled beer,frankfurter,whole milk,sweet spreads,UHT-milk,frozen vegetables,chocolate,herbs,long life bakery product"
1169,"finished products,other vegetables,soda,liquor,waffles,soda,newspapers,rolls/buns,detergent,bottled water,whole milk,margarine,napkins,napkins,cake bar,other vegetables,whipped/sour cream,white bread,napkins,cleaner,bottled beer"
1170,"whole milk,whole milk,citrus fruit,chicken,turkey,pork,dog food,chocolate,pip fruit,whole milk,sparkling wine,rolls/buns,whipped/sour cream,pip fruit,soda,bottled water,bottled water,shopping bags,whipped/sour cream,canned beer"
1171,"bottled water,specialty chocolate,other vegetables,soda,onions,beverages,soda,whipped/sour cream,brown bread,pasta"
1173,"hard cheese,bottled beer,rolls/buns,rolls/buns,fruit/vegetable juice,margarine,specialty bar,rolls/buns,newspapers"
1174,"rolls/buns,pip fruit,citrus fruit,root vegetables,soft cheese,whipped/sour cream,syrup,cling film/bags,fruit/vegetable juice,baking powder,pickled vegetables"
1175,"whole milk,bottled water,citrus fruit,yogurt,hamburger meat,citrus fruit,shopping bags,beef,white wine,berries,other vegetables,brown bread,pasta,specialty chocolate,soda,chocolate,yogurt,butter,oil"
1176,"whole milk,pastry,soda,tropical fruit,frozen potato products,hard cheese,tropical fruit,other vegetables,whole milk,other vegetables,domestic eggs,sugar,curd cheese,bottled water"
1177,"rolls/buns,canned beer,brown bread,dessert"
1178,"bottled water,oil,other vegetables,tropical fruit,ice cream,chocolate,coffee,pork,shopping bags,salt,jam"
1179,"chicken,cereals,frozen meals,soda,napkins"
1180,"citrus fruit,white bread,frozen potato products,whole milk"
1181,"sausage,white bread,bottled beer,root vegetables,mayonnaise,oil,whole milk,dishes"
1182,"beef,ice cream,hamburger meat,hamburger meat,candy,rolls/buns,butter,butter milk,shopping bags,pip fruit,whole milk,baking powder,red/blush wine,mustard,soft cheese,canned fish"
1183,"sausage,bottled beer,root vegetables,sausage,ham,dessert,butter,cream cheese ,butter,domestic eggs,brown bread,other vegetables,pastry,canned beer,brown bread,spread cheese"
1184,"root vegetables,beef,sweet spreads,whole milk,newspapers"
1185,"pip fruit,beef,frankfurter,ice cream,specialty bar,whole milk,canned beer,chewing gum,frozen meals,chocolate"
1186,"other vegetables,white bread,whole milk,domestic eggs,canned fruit,soda,soda,butter,detergent"
1187,"other vegetables,soda,citrus fruit,onions,soda,domestic eggs,shopping bags"
1188,"whole milk,butter milk,other vegetables,rolls/buns,cleaner,bottled beer,soda,bottled water"
1189,"tropical fruit,bottled beer,dessert,sliced cheese"
1190,"root vegetables,sparkling wine,pip fruit,hamburger meat,canned beer,other vegetables,whipped/sour cream,root vegetables,waffles,rolls/buns,bottled beer,root vegetables,meat spreads,specialty chocolate,soda,bottled water,soda"
1191,"hamburger meat,citrus fruit,berries,specialty chocolate,other vegetables,white bread"
1192,"butter,seasonal products,brown bread,fruit/vegetable juice,pastry"
1193,"citrus fruit,soda,root vegetables,shopping bags"
1194,"butter,whole milk,pip fruit,coffee,soda,bottled water,napkins,pastry,honey"
1195,"whole milk,finished products,butter,soft cheese,liquor,shopping bags"
1196,"mayonnaise,candy,pip fruit,rolls/buns,bottled beer,shopping bags,domestic eggs,newspapers"
1197,"citrus fruit,root vegetables,sausage,citrus fruit,root vegetables,misc. beverages,whole milk,pip fruit,beef,yogurt,sliced cheese,chocolate,packaged fruit/vegetables,yogurt,whipped/sour cream,brown bread,waffles,whipped/sour cream"
1198,"other vegetables,citrus fruit,frozen fish,specialty chocolate,napkins,specialty chocolate,newspapers"
1199,"sugar,beverages,rolls/buns,canned vegetables,whole milk,grapes,flour,sausage,white bread,bottled water,popcorn,rolls/buns,salty snack"
1200,"candy,citrus fruit,brown bread,dessert,rolls/buns,root vegetables,detergent,canned fish"
1201,"misc. beverages,candles,coffee,whole milk"
1202,"soda,yogurt,curd cheese,yogurt,coffee,root vegetables,rolls/buns,semi-finished bread,roll products ,oil"
1204,"sliced cheese,grapes,chicken,softener,root vegetables,whole milk,rolls/buns,soda,pip fruit,bottled beer,root vegetables,chocolate,yogurt,waffles,pastry,beverages"
1205,"yogurt,whole milk,whole milk,white bread,yogurt,chewing gum,oil,bottled water,ready soups,curd"
1206,"pastry,sausage,sausage,soda,rolls/buns,tropical fruit,sugar,cat food,soda,other vegetables,whole milk,hygiene articles,softener,candles"
1207,"frankfurter,whole milk,ham,whole milk,yogurt,pickled vegetables,shopping bags,semi-finished bread"
1208,"shopping bags,rolls/buns,tropical fruit,pork,misc. beverages,frozen meals,butter milk,beef,soft cheese,yogurt,bottled water"
1209,"sausage,ham,fruit/vegetable juice,yogurt,dessert,brown bread,long life bakery product,shopping bags,specialty cheese"
1211,"frankfurter,rolls/buns,UHT-milk,butter,specialty bar,finished products,butter,tropical fruit,specialty bar,salty snack,other vegetables,yogurt,whole milk,domestic eggs,margarine,specialty bar"
1212,"tropical fruit,root vegetables,beef,tropical fruit,cat food,other vegetables,domestic eggs,salt"
1213,"chicken,citrus fruit,domestic eggs,beef,pork,beef,newspapers,bottled beer,fruit/vegetable juice,dessert,margarine,brown bread,newspapers"
1214,"meat,chicken,syrup,yogurt,pip fruit,waffles"
1215,"pip fruit,grapes,other vegetables,semi-finished bread,root vegetables,sliced cheese,sauces,shopping bags,yogurt"
1216,"turkey,whole milk,canned beer,soda,root vegetables,pastry,citrus fruit,onions,specialty fat,brown bread,bottled water,napkins,tropical fruit,long life bakery product"
1217,"whole milk,citrus fruit,whole milk,dog food,grapes,sugar,pastry,bottled water"
1218,"other vegetables,whole milk,tropical fruit,tropical fruit,sausage,meat,citrus fruit,pork,meat,fruit/vegetable juice,yogurt,whole milk,rolls/buns,whole milk,candles,citrus fruit,frozen meals,cling film/bags,curd,butter,frozen fish"
1219,"canned beer,red/blush wine,brown bread,instant coffee"
1220,"pastry,frankfurter,rolls/buns,specialty chocolate,canned beer,sausage,napkins,waffles,ice cream,onions,rice,margarine,pasta,rolls/buns,butter milk,dental care,chocolate"
1221,"sugar,bottled water"
1222,"condensed milk,canned beer,onions,coffee"
1223,"ham,citrus fruit,packaged fruit/vegetables,citrus fruit,rum,butter,flour,semi-finished bread,UHT-milk,yogurt"
1224,"sausage,UHT-milk,specialty chocolate,cooking chocolate"
1225,"photo/film,dessert,shopping bags,whole milk,pastry,butter milk,white bread,whole milk,sliced cheese,brown bread,bottled beer,whole milk,whole milk,rolls/buns,soda,jam,curd,other vegetables,seasonal products,detergent,flour"
1226,"hard cheese,beef,citrus fruit,specialty bar,pastry,white bread,soda,vinegar,long life bakery product,domestic eggs"
1227,"yogurt,whipped/sour cream"
1228,"photo/film,beverages,bottled beer"
1229,"ham,beef,whipped/sour cream,white bread,mustard,newspapers,frozen potato products,brown bread"
1230,"soda,ham,frankfurter,whole milk,canned beer,soda,butter milk,domestic eggs,pastry,other vegetables,sliced cheese,canned beer,soda,misc. beverages"
1231,"sausage,grapes,ice cream,white wine,pork,hard cheese,yogurt,root vegetables,detergent,onions,photo/film,sliced cheese,soda,margarine,whipped/sour cream,flour"
1232,"rolls/buns,butter,bottled beer,grapes,bottled water,pasta,canned beer"
1233,"chicken,rolls/buns,butter milk,whipped/sour cream,waffles,rolls/buns,other vegetables,whole milk,margarine,other vegetables,soda,salty snack,soda,rolls/buns,whipped/sour cream,UHT-milk,canned beer,shopping bags,curd"
1234,"salty snack,yogurt,root vegetables,curd,root vegetables,shopping bags,margarine,pastry,coffee,bottled water"
1235,"sausage,shopping bags,sausage,other vegetables,condensed milk,canned beer,bottled beer,waffles,spread cheese,curd,other vegetables,bottled beer,bottled water,butter,dog food,abrasive cleaner,soda,roll products ,processed cheese"
1236,"whole milk,newspapers,cling film/bags,pip fruit,dishes"
1237,"ham,rolls/buns,whole milk,other vegetables,citrus fruit,pork,cleaner,beverages,butter milk,soda,hard cheese,white bread,tropical fruit,other vegetables,other vegetables,misc. beverages,sugar,hard cheese,sugar,cream cheese "
1238,"frankfurter,margarine"
1239,"brown bread,whipped/sour cream,condensed milk,finished products,sausage,meat,yogurt,tropical fruit,yogurt,whole milk,bottled beer,processed cheese,soda,bottled water,roll products ,waffles"
1240,"frozen vegetables,sausage,whole milk,frozen vegetables,onions,soda,rolls/buns,other vegetables,oil,frozen fish,hard cheese,shopping bags,baking powder"
1241,"meat,oil,specialty chocolate,whole milk,other vegetables,margarine,pasta,specialty cheese,soda,pasta,long life bakery product"
1242,"sausage,shopping bags,citrus fruit,beverages,sausage,beverages,dog food,frozen meals,tropical fruit,other vegetables,sugar,bottled beer,pasta,bottled water,butter,domestic eggs,chocolate"
1243,"soda,cling film/bags"
1244,"rolls/buns,candy,UHT-milk,salty snack,soda,soft cheese,bottled water,shopping bags"
1245,"tropical fruit,grapes,dessert,soda,turkey,coffee,onions,condensed milk,soda,rolls/buns,other vegetables,rolls/buns,canned fruit,shopping bags,white bread,soft cheese,shopping bags,processed cheese,soda,shopping bags"
1246,"other vegetables,tropical fruit,yogurt,UHT-milk,berries,canned beer,whipped/sour cream,yogurt"
1247,"frozen vegetables,butter,other vegetables,candy"
